开间,进深,层高,北侧窗台高,北侧窗高,北侧窗墙比,南侧窗墙比,南侧窗高,南侧窗台高,南侧窗间距,CEUI,DGI,UDI
7.6,7.8,3.4,1.25,1.73,0.23,0.2,1.94,1.04,4,20.503992,19.065226,60.448528
7.7,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.13,3.71,20.718727,19.038195,60.521697
7.7,7.8,3.4,1.25,1.72,0.22,0.2,1.82,1.12,3.71,20.759745,19.025093,60.35003
7.7,7.8,3.4,1.25,1.71,0.24,0.2,1.77,1.09,3.86,20.709299,19.051245,60.782884
7.5,7.8,3.2,1.28,1.44,0.22,0.2,1.58,1.2,1.91,21.457724,18.955486,61.061244
7.7,7.8,3.4,1.25,1.71,0.23,0.2,1.82,1.14,3.86,20.72101,19.037527,60.694343
8.6,7.8,3.1,1.25,1.44,0.17,0.2,1.56,1.13,1.87,21.903231,18.629354,57.139592
7.7,7.8,3.1,1.25,1.42,0.2,0.2,1.6,1.09,4.16,21.146461,18.753822,58.575445
8.5,7.8,3.1,1.25,1.44,0.2,0.2,1.56,1.09,4.15,21.524158,18.67384,58.099001
7.5,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.13,3.83,20.6579,19.082401,61.132168
8.5,7.8,3.1,1.25,1.44,0.2,0.2,1.6,1.09,4.15,21.493212,18.67642,58.112506
7.6,7.8,3.4,1.25,1.71,0.23,0.2,1.82,1.13,3.71,20.702751,19.060362,60.960741
7.7,7.8,3.1,1.25,1.42,0.2,0.2,1.6,1.07,4.16,21.132698,18.750959,58.431693
8.5,7.8,3.1,1.23,1.44,0.2,0.2,1.6,1.09,4.15,21.488348,18.677822,57.981098
7.5,7.8,3.1,1.25,1.44,0.23,0.2,1.59,1.09,4.1,20.921221,18.823576,59.648076
8.5,7.8,3.1,1.23,1.44,0.2,0.2,1.6,1.09,4.17,21.484583,18.678028,58.01137
7.5,7.8,3.2,1.3,1.5,0.22,0.2,1.6,1.19,1.86,21.410391,18.961613,61.098552
7.5,7.8,3.1,1.25,1.41,0.22,0.2,1.6,1.07,4.19,20.938444,18.801756,59.491939
7.7,7.8,3.1,1.24,1.42,0.19,0.2,1.62,1.04,4.14,21.181261,18.732943,57.816836
7.7,7.8,3.4,1.25,1.73,0.23,0.2,1.89,1.04,4,20.541136,19.043303,60.295448
7.5,7.8,3.1,1.28,1.41,0.2,0.2,1.6,1.07,4.19,21.027102,18.771254,58.799318
7.5,7.8,3.1,1.26,1.41,0.22,0.2,1.6,1.07,4.18,20.928347,18.80221,59.513182
7.7,7.8,3.1,1.25,1.42,0.21,0.2,1.6,1.09,4.16,21.090261,18.768705,58.906692
8.2,7.8,3.1,1.25,1.42,0.18,0.2,1.46,1.19,3.86,21.430059,18.661242,57.971014
8.5,7.8,3.1,1.23,1.41,0.2,0.2,1.6,1.09,4.17,21.500814,18.679924,58.186896
7.5,7.8,3.5,1.28,1.79,0.23,0.2,1.94,1.11,4.15,20.449366,19.168196,61.038882
7.8,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.13,3.84,20.712204,19.015764,60.12506
7.6,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.12,3.83,20.66493,19.060564,60.990485
7.6,7.8,3.1,1.25,1.44,0.22,0.2,1.64,0.89,4.12,20.851627,18.774979,57.663476
7.7,7.8,3.4,1.25,1.73,0.23,0.2,1.94,1.04,4,20.509243,19.044905,60.426612
7.5,7.8,3.1,1.25,1.44,0.23,0.2,1.68,0.98,4.12,20.746628,18.81201,59.080704
7.5,7.8,3.1,1.25,1.41,0.22,0.2,1.6,1.08,4.19,20.953011,18.803188,59.569905
8.2,7.8,3.1,1.25,1.42,0.19,0.2,1.46,1.19,3.86,21.353893,18.682133,58.200442
8.5,7.8,3.1,1.28,1.41,0.2,0.2,1.53,1.11,4.15,21.578741,18.670816,58.613211
8.3,7.8,3.1,1.25,1.42,0.18,0.2,1.46,1.19,3.74,21.456652,18.65723,57.826866
7.7,7.8,3.4,1.25,1.73,0.23,0.2,1.94,1.04,4.02,20.504353,19.04487,60.393767
7.5,7.8,3.4,1.26,1.72,0.24,0.2,1.82,1.12,3.96,20.637875,19.096199,61.143381
8.2,7.8,3.1,1.28,1.41,0.2,0.2,1.53,1.11,4.15,21.32543,18.688997,58.349866
7.6,7.8,3.5,1.28,1.79,0.23,0.2,1.94,1.11,3.84,20.514011,19.146526,61.229488
7.5,7.8,3.5,1.28,1.79,0.23,0.2,1.94,1.13,3.84,20.526827,19.167995,61.470371
7.7,7.8,3.1,1.25,1.44,0.18,0.2,1.46,1.2,4.15,21.476339,18.73448,59.028393
7.8,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.11,3.84,20.699656,19.016502,60.248223
7.5,7.8,3.2,1.25,1.44,0.22,0.2,1.71,0.99,4.18,20.785419,18.876337,59.463638
8.6,7.8,3.1,1.25,1.42,0.17,0.2,1.6,1.09,1.88,22.018408,18.616875,57.064597
7.6,7.8,3.1,1.28,1.41,0.16,0.2,1.51,0.9,4.11,21.219933,18.686623,54.942036
7.5,7.8,3.4,1.26,1.72,0.24,0.2,1.82,1.12,3.68,20.715624,19.096685,61.34593
7.6,7.8,3.1,1.25,1.44,0.22,0.2,1.71,0.98,4.19,20.814568,18.777412,58.702671
7.6,7.8,3.5,1.28,1.79,0.23,0.2,1.94,1.11,4.02,20.471521,19.146214,61.117223
7.6,7.8,3.1,1.28,1.41,0.16,0.2,1.5,0.9,4.11,21.22238,18.685043,54.920914
7.5,7.8,3.2,1.29,1.45,0.22,0.2,1.55,1.19,4.14,21.104479,18.893423,60.738581
7.5,7.8,3.2,1.25,1.44,0.22,0.2,1.71,1.09,4.19,20.889347,18.881472,60.215572
7.8,7.8,3.4,1.25,1.73,0.23,0.2,1.8,1.06,4,20.693922,19.017471,60.052847
7.5,7.8,3.1,1.28,1.4,0.2,0.2,1.49,1.11,4.15,21.151812,18.779005,59.213643
7.6,7.8,3.1,1.28,1.41,0.16,0.2,1.5,0.88,4.11,21.215519,18.690346,54.671696
7.5,7.8,3.2,1.29,1.45,0.22,0.2,1.55,1.21,4.14,21.140274,18.89632,60.957025
7.5,7.8,3.5,1.3,1.79,0.22,0.2,1.89,1.11,3.84,20.547897,19.15402,61.481709
7.5,7.8,3.2,1.29,1.45,0.22,0.2,1.55,1.17,4.14,21.06992,18.890562,60.514372
8.6,7.8,3.1,1.28,1.41,0.17,0.2,1.56,1.13,1.87,21.900566,18.633091,57.580469
7.6,7.8,3.1,1.28,1.41,0.19,0.2,1.6,1.08,4.16,21.151987,18.748194,58.332847
8.6,7.8,3.1,1.25,1.44,0.17,0.2,1.56,1.13,2.1,21.869726,18.617538,56.831098
7.6,7.8,3.1,1.25,1.41,0.2,0.2,1.54,1.11,4.18,21.17131,18.767046,58.937938
7.6,7.8,3.1,1.28,1.41,0.22,0.2,1.6,1.08,4.14,20.961359,18.794443,59.347181
8.6,7.8,3.1,1.28,1.4,0.2,0.2,1.54,1.14,3.86,21.643763,18.665342,58.575445
7.6,7.8,3.1,1.28,1.41,0.18,0.2,1.57,0.9,4.15,21.0431,18.719997,56.123022
7.6,7.8,3.1,1.25,1.41,0.21,0.2,1.54,1.11,4.17,21.119434,18.782543,59.171598
7.8,7.8,3.4,1.25,1.74,0.24,0.2,1.84,1.06,4,20.640005,19.032265,60.503388
7.6,7.8,3.1,1.28,1.41,0.21,0.2,1.65,0.9,4.14,20.858032,18.762014,57.5871
7.5,7.7,3.1,1.25,1.44,0.22,0.2,1.7,0.97,4.18,20.726042,18.842134,58.486373
7.6,7.8,3.5,1.28,1.8,0.23,0.2,1.91,1.1,4.04,20.48192,19.145626,61.035156
7.5,7.7,3.2,1.25,1.47,0.22,0.2,1.89,0.86,4.18,20.603907,18.933844,58.520599
7.5,7.8,3.5,1.28,1.79,0.24,0.2,1.98,1.11,4.19,20.416243,19.182016,61.046334
7.5,7.8,3.4,1.25,1.73,0.24,0.2,1.82,1.13,3.95,20.649534,19.095705,61.214496
7.5,7.8,3.2,1.3,1.45,0.22,0.2,1.58,1.21,3.94,21.118746,18.907038,60.830951
7.5,7.8,3.2,1.29,1.44,0.22,0.2,1.57,1.2,4,21.12513,18.902721,60.771802
7.5,7.7,3.1,1.26,1.43,0.22,0.2,1.7,0.97,4.17,20.719152,18.842264,58.596039
7.5,7.8,3.1,1.25,1.44,0.22,0.2,1.57,1.11,4.16,20.991709,18.808311,59.608965
7.5,7.8,3.2,1.29,1.44,0.22,0.2,1.58,1.2,2.2,21.381786,18.950922,60.971892
7.5,7.8,3.1,1.25,1.41,0.2,0.2,1.54,1.11,4.18,21.141382,18.7777,59.206631
8.7,7.8,3.1,1.27,1.41,0.17,0.2,1.58,1.1,1.8,21.98914,18.61746,57.411873
7.7,7.8,3.4,1.25,1.72,0.23,0.2,1.94,1.05,3.83,20.561934,19.04479,60.631783
7.5,7.7,3.1,1.26,1.43,0.22,0.2,1.7,0.96,4.17,20.706602,18.842783,58.476113
7.5,7.8,3.4,1.26,1.72,0.23,0.2,1.82,1.12,3.96,20.618658,19.082727,61.035156
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.91,1.11,4.04,20.491577,19.167788,61.402432
7.6,7.8,3.1,1.28,1.41,0.19,0.2,1.59,0.93,4.08,20.996332,18.735376,56.811726
7.6,7.8,3.1,1.27,1.41,0.18,0.2,1.71,0.9,4.03,21.021095,18.724842,56.173464
7.7,7.8,3.1,1.28,1.41,0.17,0.2,1.5,0.9,4.14,21.249868,18.679701,55.688589
8.5,7.8,3.1,1.28,1.41,0.22,0.2,1.56,1.13,4.16,21.492496,18.682766,59.028393
8.7,7.8,3.1,1.25,1.44,0.17,0.2,1.58,1.1,2,21.994158,18.617186,56.811726
7.5,7.7,3.1,1.26,1.43,0.22,0.2,1.71,0.96,4.18,20.699816,18.843187,58.513751
7.6,7.8,3.5,1.28,1.79,0.24,0.2,1.98,1.11,4.19,20.407375,19.160673,60.971892
7.5,7.8,3.5,1.3,1.79,0.24,0.2,1.98,1.11,4.19,20.417864,19.182384,61.19951
7.5,7.8,3.1,1.25,1.44,0.23,0.2,1.49,1.19,1.77,21.610266,18.909647,61.180789
8.7,7.8,3.1,1.25,1.44,0.17,0.2,1.58,1.1,1.91,21.995441,18.617369,56.928157
8.6,7.8,3.1,1.28,1.41,0.17,0.2,1.56,1.13,1.86,21.899937,18.633957,57.593734
7.5,7.8,3.2,1.29,1.44,0.22,0.2,1.57,1.2,1.87,21.479536,18.956472,61.150859
7.5,7.8,3.2,1.25,1.44,0.22,0.2,1.71,1.07,4.19,20.873409,18.880384,60.06006
7.5,7.8,3.1,1.25,1.44,0.23,0.2,1.49,1.19,4.2,21.153303,18.832541,60.723828
7.5,7.8,3.2,1.28,1.44,0.22,0.2,1.71,0.98,4.19,20.735561,18.876244,59.44243
8.6,7.8,3.1,1.28,1.4,0.2,0.21,1.55,1.14,3.97,21.605555,18.669834,58.558295
8.4,7.8,3.1,1.27,1.41,0.22,0.2,1.56,1.13,4.16,21.383881,18.692556,58.872012
7.6,7.8,3.1,1.28,1.41,0.22,0.2,1.56,1.13,4.15,21.051453,18.801088,59.740725
7.7,7.8,3.4,1.25,1.73,0.23,0.2,1.93,1.05,3.83,20.563017,19.04451,60.657528
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.86,1.11,4.04,20.527143,19.166185,61.349693
7.6,7.8,3.1,1.27,1.41,0.19,0.2,1.7,0.9,4.03,20.947618,18.737024,56.609114
7.6,7.8,3.1,1.27,1.41,0.18,0.2,1.65,0.9,4.08,21.036676,18.722635,56.163999
7.5,7.7,3.2,1.26,1.44,0.22,0.2,1.89,0.86,4.18,20.617811,18.93404,58.761312
7.5,7.8,3.2,1.28,1.44,0.22,0.2,1.57,1.2,1.87,21.475365,18.955683,61.079892
7.5,7.8,3.1,1.25,1.41,0.22,0.2,1.43,1.2,4.19,21.282238,18.820393,60.639136
8.6,7.8,3.1,1.28,1.41,0.22,0.21,1.43,1.25,4.09,21.541235,18.695406,59.901761
7.5,7.8,3.1,1.25,1.44,0.23,0.2,1.49,1.19,1.76,21.615286,18.909889,61.192021
7.6,7.8,3.5,1.28,1.8,0.23,0.2,1.91,1.09,4.13,20.456964,19.14584,60.871682
7.6,7.8,3.5,1.28,1.8,0.24,0.2,1.98,1.11,4.2,20.398184,19.160696,60.968175
7.6,7.8,3.1,1.28,1.41,0.18,0.2,1.7,0.89,4.08,20.994394,18.724768,56.107277
8.6,7.8,3.1,1.25,1.4,0.2,0.21,1.55,1.14,3.97,21.564354,18.673012,58.356676
7.7,7.8,3.5,1.28,1.8,0.24,0.2,1.92,1.11,4.2,20.459435,19.136566,60.565683
7.5,7.8,3.1,1.26,1.43,0.22,0.2,1.71,0.96,4.18,20.742064,18.797655,58.657907
8.7,7.8,3.1,1.25,1.42,0.17,0.2,1.58,1.1,1.91,22.008039,18.617401,57.093919
7.6,7.7,3.1,1.26,1.43,0.23,0.2,1.71,0.96,4.08,20.739756,18.830463,58.537728
7.7,7.8,3.5,1.28,1.81,0.24,0.2,1.91,1.11,4.2,20.458563,19.136284,60.554681
8.2,7.8,3.1,1.28,1.41,0.22,0.2,1.56,1.13,4.18,21.239733,18.723185,59.021425
7.6,7.7,3.2,1.26,1.44,0.22,0.2,1.91,0.86,4.18,20.648884,18.911282,58.833912
7.5,7.8,3.2,1.28,1.47,0.22,0.2,1.71,0.98,4.19,20.721001,18.876677,59.266283
7.5,7.8,3.2,1.29,1.43,0.22,0.2,1.57,1.2,2.15,21.405519,18.952053,61.035156
7.5,7.7,3.2,1.28,1.44,0.22,0.2,1.89,0.86,4.18,20.606058,18.933834,58.692335
7.6,7.8,3.1,1.28,1.41,0.22,0.2,1.7,0.89,4.19,20.803844,18.777393,58.176741
7.5,7.8,3.1,1.26,1.43,0.2,0.2,1.72,0.96,4.18,20.855961,18.772017,57.620282
7.6,7.8,3.5,1.3,1.79,0.23,0.2,1.9,1.11,3.84,20.53731,19.145609,61.259495
7.6,7.8,3.5,1.3,1.79,0.23,0.2,1.91,1.1,4.02,20.482197,19.145985,61.177046
8.7,7.8,3.1,1.25,1.44,0.17,0.2,1.58,1.1,1.71,21.984989,18.617769,57.133063
7.8,7.8,3.1,1.28,1.41,0.21,0.2,1.57,0.9,4.19,21.120073,18.728725,57.56721
7.7,7.8,3.4,1.21,1.7,0.23,0.2,1.93,1.06,3.83,20.628443,19.043295,60.30272
7.6,7.8,3.1,1.28,1.41,0.2,0.2,1.56,1.05,4.16,21.057772,18.759331,58.428279
7.5,7.7,3.2,1.3,1.44,0.22,0.2,1.89,0.86,4.18,20.607967,18.933628,58.644147
8.7,7.8,3.1,1.28,1.41,0.17,0.2,1.58,1.08,1.86,22.038603,18.616646,57.267209
7.6,7.8,3.4,1.28,1.7,0.23,0.2,1.93,1.06,3.94,20.529646,19.066586,60.720141
8.6,7.7,3.1,1.25,1.4,0.19,0.2,1.55,1.14,4.14,21.547426,18.67507,58.173357
7.5,7.8,3.5,1.28,1.79,0.23,0.2,1.98,1.11,3.92,20.479977,19.169876,61.360987
7.7,7.8,3.4,1.28,1.7,0.23,0.2,1.93,1.06,4.19,20.490196,19.041807,60.211946
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.9,1.12,3.84,20.54631,19.167446,61.557402
7.7,7.8,3.1,1.28,1.41,0.22,0.2,1.7,0.87,4.2,20.905201,18.75832,58.122639
7.5,7.8,3.5,1.3,1.79,0.24,0.2,1.95,1.12,4.19,20.431566,19.181913,61.304561
7.7,7.8,3.1,1.28,1.41,0.17,0.2,1.58,0.9,4.13,21.224577,18.69314,55.837847
8.1,7.7,3.1,1.28,1.41,0.22,0.2,1.56,1.13,4.17,21.226133,18.75338,58.561724
7.6,7.8,3.1,1.29,1.4,0.16,0.2,1.4,0.92,4.2,21.240377,18.674662,55.233361
7.6,7.8,3.1,1.28,1.41,0.2,0.2,1.55,1.13,4.14,21.166838,18.771662,59.154096
8.7,7.8,3.1,1.28,1.41,0.17,0.2,1.55,1.13,1.86,21.90703,18.619318,57.517543
7.7,7.8,3.4,1.25,1.72,0.23,0.2,1.94,1.05,4.01,20.511469,19.044479,60.459492
