开间,进深,层高,北侧窗台高,北侧窗高,北侧窗墙比,南侧窗墙比,南侧窗高,南侧窗台高,南侧窗间距,CEUI,DGI,UDI
8.6,7.8,3.1,1.29,1.4,0.17,0.2,1.61,1.05,1.85,22.089933,18.614883,57.201693
8.7,7.8,3.1,1.28,1.41,0.17,0.2,1.55,1.13,4.18,21.775209,18.65708,58.24451
7.6,7.8,3.1,1.29,1.4,0.16,0.2,1.42,1.06,4.19,21.419594,18.670616,57.093919
7.7,7.8,3.1,1.28,1.4,0.16,0.2,1.48,0.93,4.19,21.312078,18.674826,55.747575
8.6,7.8,3.1,1.28,1.4,0.19,0.2,1.52,1.13,4.2,21.645288,18.660961,58.833912
7.6,7.8,3.1,1.28,1.41,0.19,0.2,1.42,1.02,4.14,21.148119,18.740602,57.630244
7.6,7.7,3.2,1.3,1.44,0.22,0.2,1.9,0.86,4.18,20.636724,18.910528,58.830451
7.7,7.8,3.1,1.29,1.4,0.17,0.2,1.59,0.93,3.91,21.234804,18.689913,56.019271
7.5,7.8,3.3,1.3,1.48,0.22,0.2,1.71,0.98,4.19,20.679781,18.96291,59.619627
7.7,7.8,3.1,1.28,1.41,0.22,0.2,1.7,0.84,4.2,20.919127,18.756847,57.900527
8.6,7.8,3.1,1.28,1.4,0.2,0.2,1.55,1.13,4.1,21.618916,18.668407,58.878945
7.5,7.8,3.3,1.3,1.47,0.22,0.2,1.71,0.98,4.2,20.690924,18.962049,59.701493
8.7,7.8,3.1,1.28,1.41,0.17,0.2,1.55,1.12,1.86,21.928881,18.618935,57.464659
7.7,7.8,3.5,1.28,1.8,0.24,0.2,1.98,1.11,4.2,20.404547,19.138489,60.562016
7.7,7.8,3.4,1.25,1.72,0.23,0.2,1.93,1.05,4.01,20.518911,19.044159,60.437568
7.5,7.8,3.3,1.3,1.48,0.22,0.2,1.74,0.98,4.19,20.664881,18.963261,59.744294
8.6,7.8,3.1,1.28,1.41,0.17,0.2,1.44,0.91,1.66,22.268885,18.613777,57.110223
8.7,7.8,3.1,1.28,1.41,0.17,0.2,1.46,1.13,4.18,21.854919,18.654982,58.414627
7.6,7.8,3.1,1.28,1.41,0.2,0.2,1.7,0.9,4.2,20.85125,18.751009,57.293457
7.6,7.8,3.4,1.28,1.7,0.24,0.2,1.93,1.06,3.94,20.535814,19.07913,60.890215
7.8,7.8,3.1,1.28,1.4,0.16,0.2,1.54,0.98,4.2,21.396097,18.67185,56.577086
7.5,7.8,3.3,1.3,1.47,0.22,0.2,1.67,0.98,4.19,20.712427,18.962034,59.527353
7.6,7.8,3.4,1.28,1.7,0.24,0.2,1.93,1.06,4.04,20.510015,19.075968,60.712768
7.7,7.8,3.1,1.28,1.41,0.22,0.2,1.74,0.84,4.19,20.882692,18.757627,57.971014
7.6,7.8,3.1,1.28,1.41,0.17,0.2,1.7,0.9,4.18,21.075335,18.712944,55.887777
7.6,7.8,3.1,1.28,1.41,0.19,0.2,1.62,1.05,4.18,21.106791,18.742928,58.200442
7.6,7.8,3.2,1.28,1.42,0.22,0.2,1.71,1.09,4.19,20.911097,18.86598,60.201072
7.8,7.8,3.1,1.28,1.41,0.16,0.2,1.54,1.13,4.2,21.471289,18.654844,57.557269
7.5,7.8,3.1,1.28,1.41,0.22,0.2,1.71,0.98,4.12,20.754995,18.797609,59.052793
7.6,7.8,3.1,1.28,1.41,0.19,0.2,1.75,0.9,4.19,20.869314,18.739552,56.924916
7.8,7.8,3.1,1.28,1.41,0.19,0.2,1.68,0.9,4.2,21.114847,18.698318,57.113484
7.6,7.8,3.2,1.28,1.47,0.2,0.2,1.92,0.86,4.19,20.69355,18.839373,57.840245
8.7,7.8,3.1,1.28,1.41,0.17,0.2,1.41,1.13,4.18,21.88336,18.653816,58.503481
7.5,7.8,3.2,1.3,1.48,0.22,0.2,1.74,0.98,4.19,20.67617,18.877481,59.382423
7.5,7.7,3.2,1.28,1.42,0.22,0.2,1.7,1.09,4.19,20.855915,18.913223,60.262746
7.5,7.8,3.5,1.3,1.79,0.24,0.2,1.9,1.12,4.19,20.470015,19.180311,61.353457
7.5,7.8,3.2,1.3,1.48,0.22,0.2,1.74,1.05,4.2,20.77187,18.881796,59.923298
7.6,7.8,3.2,1.3,1.48,0.22,0.2,1.72,0.98,4.19,20.726931,18.860159,59.09467
7.8,7.8,3.1,1.29,1.4,0.17,0.2,1.54,1.05,4.19,21.350746,18.673243,57.313159
7.6,7.8,3.1,1.28,1.41,0.22,0.2,1.71,0.98,4.19,20.794857,18.77944,58.976174
7.6,7.8,3.1,1.28,1.41,0.19,0.2,1.57,0.91,4.15,20.99439,18.733007,56.676491
7.6,7.8,3.4,1.28,1.7,0.24,0.2,1.93,1.06,4.19,20.471315,19.071226,60.452182
7.7,7.8,3.5,1.3,1.79,0.24,0.2,1.98,1.11,4.2,20.396235,19.138815,60.521697
7.6,7.8,3.1,1.29,1.4,0.15,0.2,1.4,0.91,4.18,21.3188,18.668179,54.632867
7.7,7.8,3.4,1.25,1.72,0.23,0.2,1.93,1.05,4.19,20.492247,19.041441,60.128675
7.6,7.7,3.1,1.28,1.41,0.22,0.2,1.75,0.91,4.17,20.694803,18.823492,58.25469
7.7,7.8,3.1,1.28,1.41,0.22,0.2,1.55,1.13,4.19,21.087408,18.787731,59.467174
7.6,7.8,3.4,1.28,1.7,0.24,0.2,1.93,1.06,4.01,20.517756,19.076918,60.764416
7.6,7.8,3.2,1.3,1.44,0.22,0.2,1.9,0.86,4.2,20.702894,18.864899,59.070235
7.6,7.8,3.1,1.29,1.4,0.18,0.2,1.53,0.92,4.2,21.05537,18.717707,56.439779
7.6,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.9,4.19,20.875893,18.739664,57.0288
7.6,7.8,3.1,1.29,1.4,0.16,0.2,1.4,0.91,4.2,21.233404,18.67481,55.096419
7.6,7.8,3.2,1.3,1.45,0.22,0.2,1.93,0.86,4.18,20.664618,18.865704,59.024909
7.7,7.8,3.4,1.25,1.72,0.22,0.2,1.95,1.04,4.01,20.569792,19.031696,60.081711
7.8,7.8,3.1,1.29,1.4,0.16,0.2,1.4,1.14,4.2,21.628916,18.641518,57.773413
7.6,7.7,3.2,1.3,1.46,0.22,0.2,1.9,0.86,4.2,20.614748,18.91045,58.733701
8.6,7.8,3.1,1.23,1.41,0.19,0.2,1.54,1.12,4.2,21.599352,18.666611,58.360082
7.5,7.8,3.3,1.3,1.48,0.22,0.2,1.74,1.14,4.19,20.85634,18.973206,60.968175
8.6,7.8,3.1,1.28,1.4,0.18,0.2,1.52,1.15,4.19,21.674761,18.658327,58.640708
7.6,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.91,4.19,20.878828,18.739172,57.126535
7.7,7.8,3.1,1.28,1.4,0.17,0.2,1.4,0.92,4.2,21.285124,18.675663,55.944056
7.6,7.8,3.4,1.28,1.7,0.23,0.2,1.93,1.06,4.01,20.513313,19.065294,60.598715
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.9,1.14,3.84,20.548826,19.166706,61.553613
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.73,0.92,4.2,20.776167,18.777733,58.651026
8.5,7.8,3.1,1.29,1.4,0.16,0.2,1.47,0.93,1.6,22.275423,18.613106,57.006043
7.7,7.8,3.4,1.23,1.72,0.22,0.2,1.95,1.04,4.09,20.585279,19.031193,59.948444
7.8,7.8,3.1,1.29,1.4,0.18,0.2,1.54,0.93,4.19,21.241156,18.68725,56.866648
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.53,1.09,4.2,21.012703,18.792858,59.400059
7.7,7.8,3.1,1.29,1.4,0.19,0.2,1.4,1.16,4.2,21.414366,18.74597,59.12262
7.6,7.8,3.5,1.27,1.8,0.24,0.2,1.98,1.11,4.2,20.40576,19.160513,60.916179
7.5,7.8,3.3,1.3,1.48,0.22,0.2,1.74,1.09,4.19,20.807264,18.970413,60.554681
7.5,7.7,3.2,1.29,1.42,0.22,0.2,1.7,1.1,4.19,20.85969,18.913956,60.401063
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.53,1.14,4.2,21.078249,18.800014,59.941258
7.6,7.7,3.1,1.27,1.41,0.22,0.2,1.68,0.91,4.17,20.741911,18.821213,58.095625
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.41,0.94,4.2,21.321798,18.654678,55.769338
7.8,7.8,3.1,1.29,1.4,0.18,0.2,1.44,0.92,4.19,21.299183,18.684418,56.609114
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.53,1.15,4.19,21.089621,18.801989,60.06006
7.6,7.8,3.1,1.29,1.4,0.18,0.2,1.54,1.05,4.19,21.190325,18.726713,57.840245
8.6,7.8,3.1,1.29,1.4,0.17,0.2,1.61,1.07,1.85,22.042784,18.615274,57.313159
7.6,7.8,3.4,1.25,1.71,0.23,0.2,1.93,1.06,4.01,20.520586,19.065107,60.507049
7.5,7.7,3.3,1.29,1.56,0.22,0.2,1.77,1.1,4.19,20.726248,19.006376,60.020407
7.6,7.8,3.1,1.29,1.4,0.18,0.2,1.68,0.86,4.2,20.971292,18.726122,55.981638
7.6,7.8,3.1,1.29,1.4,0.15,0.2,1.42,0.91,4.2,21.309267,18.672329,54.683655
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.91,1.11,3.84,20.539808,19.168135,61.568772
7.7,7.8,3.5,1.28,1.81,0.24,0.2,1.9,1.12,4.2,20.480082,19.135593,60.499728
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.43,1.16,0.99,21.841017,18.902607,61.394892
8.7,7.8,3.1,1.27,1.4,0.16,0.2,1.43,1.16,4.18,21.87532,18.650492,58.33625
7.6,7.8,3.1,1.27,1.4,0.18,0.2,1.73,0.86,4.2,20.981554,18.728182,56.097835
7.8,7.8,3.1,1.28,1.4,0.18,0.2,1.68,0.86,4.2,21.179476,18.695366,56.398398
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.46,1.15,0.98,21.817528,18.905958,61.372284
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.18,0.98,21.847517,18.911648,61.572563
7.6,7.8,3.1,1.29,1.4,0.19,0.2,1.42,1.17,4.2,21.372143,18.758085,59.481323
7.6,7.8,3.1,1.27,1.4,0.18,0.2,1.73,0.92,4.2,21.014395,18.725067,56.776245
7.5,7.8,3.4,1.26,1.72,0.24,0.2,1.84,1.11,3.9,20.630306,19.097315,61.195765
7.8,7.8,3.1,1.29,1.4,0.19,0.2,1.41,1.18,4.17,21.421011,18.73597,59.087686
7.8,7.8,3.1,1.29,1.4,0.18,0.2,1.44,1.21,0.94,21.949039,18.822004,60.890215
7.5,7.8,3.4,1.26,1.72,0.24,0.2,1.84,1.11,3.83,20.651056,19.097437,61.289532
7.8,7.8,3.1,1.28,1.4,0.22,0.2,1.69,0.86,4.2,21.035204,18.74238,58.136155
7.6,7.8,3.1,1.29,1.4,0.19,0.2,1.41,1.18,4.17,21.391369,18.761143,59.577003
7.5,7.8,3.1,1.28,1.4,0.22,0.2,1.43,1.15,1.64,21.7215,18.89115,61.068702
7.6,7.8,3.5,1.28,1.81,0.23,0.2,1.91,1.11,3.97,20.49472,19.145416,61.210749
7.6,7.8,3.5,1.3,1.79,0.25,0.2,1.98,1.11,4.2,20.426037,19.174494,60.990485
7.7,7.8,3.1,1.29,1.4,0.19,0.2,1.42,1.17,4.2,21.406172,18.747431,59.245216
7.6,7.8,3.1,1.27,1.41,0.22,0.2,1.75,0.91,4.19,20.775995,18.778086,58.517175
7.7,7.8,3.1,1.29,1.4,0.15,0.2,1.4,0.92,3.94,21.457809,18.644804,54.752519
7.6,7.8,3.1,1.28,1.4,0.16,0.2,1.53,0.92,4.2,21.223677,18.693258,55.45389
7.6,7.8,3.1,1.27,1.4,0.19,0.2,1.4,1.15,4.19,21.387197,18.756481,59.196117
7.7,7.8,3.1,1.28,1.4,0.15,0.2,1.43,1.18,4.08,21.719034,18.635036,58.159823
7.5,7.7,3.3,1.29,1.56,0.23,0.2,1.77,1.1,4.19,20.69137,19.018,60.233707
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.41,1.18,4.2,21.241671,18.805843,60.201072
7.6,7.8,3.1,1.28,1.4,0.22,0.21,1.45,1.18,0.98,21.785669,18.928978,61.319598
7.9,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.16,0.98,21.738779,18.863258,60.860568
7.6,7.8,3.1,1.28,1.4,0.18,0.2,1.4,1.18,4.19,21.469694,18.745262,59.287366
7.8,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.91,4.2,21.083527,18.701086,57.385516
7.6,7.8,3.1,1.28,1.4,0.21,0.2,1.43,1.19,0.98,21.888269,18.893843,61.459038
7.6,7.8,3.1,1.29,1.4,0.16,0.2,1.44,0.92,4.19,21.231325,18.676369,55.282216
7.6,7.7,3.3,1.29,1.56,0.22,0.2,1.77,1.1,4.19,20.755899,18.988581,59.830083
7.6,7.8,3.1,1.29,1.4,0.19,0.2,1.47,1.12,0.9,21.953325,18.84594,60.90134
7.5,7.7,3.3,1.3,1.56,0.22,0.2,1.75,1.1,4.19,20.725313,19.006222,59.991601
7.5,7.8,3.2,1.3,1.4,0.2,0.2,1.71,1.02,4.17,20.920979,18.854681,59.301429
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.16,0.91,21.828653,18.902983,61.508181
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.43,1.18,0.98,21.852318,18.90576,61.667489
7.5,7.8,3.1,1.28,1.41,0.22,0.2,1.44,1.15,4.19,21.131199,18.812956,60.172092
7.6,7.8,3.3,1.29,1.47,0.22,0.2,1.77,1.1,4.19,20.851715,18.953125,60.448528
8.5,7.8,3.1,1.29,1.4,0.22,0.2,1.47,1.18,4.2,21.516813,18.678835,59.491939
7.6,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.92,4.2,20.892199,18.738745,57.240985
7.8,7.8,3.1,1.28,1.41,0.16,0.2,1.45,0.98,4.2,21.45488,18.654142,56.363431
7.8,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.92,4.2,21.092068,18.701523,57.441553
7.6,7.8,3.1,1.28,1.4,0.21,0.2,1.43,1.13,0.98,21.842899,18.882975,61.053788
7.5,7.7,3.3,1.3,1.56,0.22,0.2,1.74,1.09,4.19,20.72307,19.005503,59.873069
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.44,1.2,0.91,21.870676,18.898096,61.816159
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.44,0.91,4.2,21.313501,18.668226,55.4293
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.44,1.18,4.2,21.626844,18.667259,58.496636
7.8,7.8,3.1,1.28,1.4,0.22,0.2,1.7,0.9,4.2,21.008335,18.743881,58.295441
7.8,7.8,3.1,1.29,1.4,0.18,0.2,1.45,0.92,4.19,21.292898,18.684498,56.621935
7.9,7.8,3.1,1.28,1.4,0.21,0.2,1.46,1.16,0.98,21.746197,18.843336,60.738581
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.44,1.23,0.91,21.915571,18.902523,62.243247
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.5,1.16,1.64,21.666117,18.877066,60.979328
7.9,7.8,3.1,1.28,1.4,0.16,0.2,1.46,1.16,3.78,21.561035,18.642698,57.563896
7.7,7.8,3.4,1.25,1.72,0.22,0.2,1.95,1.04,3.94,20.587242,19.031818,60.121445
7.5,7.8,3.4,1.26,1.72,0.23,0.2,1.84,1.12,3.94,20.606258,19.083403,61.087355
7.5,7.7,3.1,1.28,1.4,0.22,0.2,1.7,0.9,4.2,20.667715,18.846054,58.132775
7.7,7.8,3.1,1.28,1.4,0.16,0.2,1.5,0.95,4.2,21.319117,18.672924,55.997312
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.43,0.97,4.2,21.337004,18.649336,56.110425
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.9,1.12,4.19,20.458437,19.166838,61.221991
7.8,7.8,3.1,1.28,1.4,0.18,0.2,1.76,0.93,4.2,21.190973,18.699203,57.231157
7.9,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.18,4.2,21.261822,18.771097,59.213643
7.6,7.8,3.4,1.28,1.7,0.23,0.2,1.92,1.06,4.01,20.519373,19.065125,60.58036
7.6,7.8,3.1,1.28,1.4,0.21,0.2,1.43,1.12,0.98,21.840895,18.880262,60.983047
7.8,7.8,3.1,1.28,1.41,0.16,0.2,1.43,1.11,4.19,21.552313,18.641106,57.342738
